iter	RMSE
0	0.2558798353
1	0.2543538102
2	0.2530578361
3	0.2519543724
4	0.2508010158
5	0.2498798268
6	0.2489939055
7	0.2478261649
8	0.2471481763
9	0.2463828493
10	0.2453662678
11	0.2448197989
12	0.2441622807
13	0.24364112
14	0.2428610292
15	0.2423107455
16	0.2417828832
17	0.2414856473
18	0.2408037766
19	0.2404446022
20	0.2399944689
21	0.2396151133
22	0.239261012
23	0.238932554
24	0.2385118531
25	0.2379572912
26	0.2375859826
27	0.2371332794
28	0.2366225959
29	0.2361601203
30	0.2358684877
31	0.2355936232
32	0.2351913174
33	0.2348571196
34	0.2345606524
35	0.2342595951
36	0.234007959
37	0.2336944444
38	0.2332767943
39	0.2330889918
40	0.2324233501
41	0.2321231768
42	0.2316602569
43	0.2312552286
44	0.2309602934
45	0.230755338
46	0.2305759607
47	0.2302915302
48	0.2298629786
49	0.2295118011
50	0.2293343618
51	0.2290934349
52	0.2286648244
53	0.2282620749
54	0.2279903675
55	0.2277171681
56	0.2274370182
57	0.2271104388
58	0.2267865071
59	0.2265486093
60	0.2262820645
61	0.2260369439
62	0.225691626
63	0.2254496038
64	0.225057045
65	0.224908783
66	0.2246565648
67	0.2244313131
68	0.2242107746
69	0.2238381531
70	0.2234527219
71	0.2231453117
72	0.2227523666
73	0.2225549844
74	0.2222116773
75	0.2219383991
76	0.2217307615
77	0.2212260077
78	0.2208418687
79	0.2206045901
80	0.2203252005
81	0.2201609716
82	0.2197652754
83	0.2193253089
84	0.2190586422
85	0.2187533193
86	0.2184220683
87	0.2179813999
88	0.2177654984
89	0.2176275895
90	0.2172699546
91	0.2169134307
92	0.2166680069
93	0.2162701106
94	0.2159528207
95	0.2155311302
96	0.2151655064
97	0.2147852713
98	0.2143184838
99	0.2137935664
