iter	Passed	Remaining
0	206	20406
1	392	19248
2	582	18845
3	771	18505
4	954	18128
5	1141	17876
6	1326	17620
7	1509	17363
8	1692	17117
9	1879	16914
10	2061	16679
11	2251	16508
12	2431	16274
13	2628	16144
14	2806	15903
15	2990	15701
16	3173	15492
17	3349	15259
18	3530	15051
19	3712	14848
20	3890	14633
21	4082	14474
22	4277	14320
23	4469	14153
24	4659	13978
25	4839	13774
26	5016	13561
27	5187	13339
28	5368	13144
29	5541	12930
30	5709	12708
31	5890	12517
32	6071	12327
33	6243	12119
34	6429	11939
35	6609	11749
36	6782	11549
37	6967	11367
38	7135	11161
39	7312	10968
40	7491	10781
41	7674	10598
42	7874	10438
43	8056	10253
44	8231	10060
45	8405	9866
46	8612	9711
47	8793	9526
48	8971	9338
49	9155	9155
50	9343	8976
51	9519	8787
52	9696	8598
53	9882	8418
54	10090	8256
55	10264	8065
56	10440	7875
57	10624	7693
58	10814	7515
59	10990	7327
60	11162	7136
61	11340	6950
62	11517	6764
63	11694	6578
64	11874	6393
65	12054	6209
66	12232	6025
67	12398	5834
68	12587	5655
69	12766	5471
70	12947	5288
71	13134	5107
72	13314	4924
73	13492	4740
74	13664	4554
75	13833	4368
76	14009	4184
77	14192	4003
78	14373	3820
79	14552	3638
80	14739	3457
81	14913	3273
82	15084	3089
83	15255	2905
84	15423	2721
85	15603	2540
86	15797	2360
87	15976	2178
88	16151	1996
89	16327	1814
90	16505	1632
91	16686	1451
92	16861	1269
93	17038	1087
94	17212	905
95	17380	724
96	17559	543
97	17731	361
98	17907	180
99	18090	0
